Recording timestamp,Recording date,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right
973581213,2024/04/07,507.0,250.0,515.0,282.0,499.0,217.0,-0.08208,-0.05927,-0.99486,-0.20439,-0.06483,-0.97674,5.181,5.631
973597867,2024/04/07,507.0,251.0,514.0,282.0,501.0,220.0,-0.08293,-0.05964,-0.99477,-0.20443,-0.0646,-0.97675,5.182,5.631
973614522,2024/04/07,503.0,240.0,502.0,272.0,504.0,208.0,-0.08732,-0.06307,-0.99418,-0.20423,-0.06887,-0.9765,5.145,5.631
973631177,2024/04/07,500.0,238.0,505.0,269.0,494.0,206.0,-0.08733,-0.06416,-0.99411,-0.20778,-0.06986,-0.97568,5.134,5.627
973647832,2024/04/07,508.0,227.0,506.0,270.0,511.0,184.0,-0.08787,-0.0644,-0.99405,-0.2039,-0.07697,-0.97596,5.137,5.619
973664486,2024/04/07,509.0,226.0,505.0,268.0,512.0,185.0,-0.08868,-0.06465,-0.99396,-0.20416,-0.07701,-0.9759,5.133,5.611
973681141,2024/04/07,501.0,236.0,505.0,272.0,497.0,201.0,-0.08979,-0.06338,-0.99394,-0.2092,-0.07238,-0.97519,5.143,5.615
973697796,2024/04/07,506.0,234.0,508.0,269.0,503.0,200.0,-0.08972,-0.06407,-0.9939,-0.20847,-0.07297,-0.9753,5.126,5.602
973714450,2024/04/07,508.0,241.0,511.0,273.0,504.0,209.0,-0.08977,-0.06265,-0.99399,-0.20923,-0.07015,-0.97535,5.097,5.585
973731105,2024/04/07,508.0,246.0,511.0,280.0,505.0,211.0,-0.09081,-0.06004,-0.99406,-0.20984,-0.0695,-0.97526,5.075,5.566
973747760,2024/04/07,510.0,251.0,514.0,287.0,507.0,215.0,-0.09095,-0.0574,-0.9942,-0.21018,-0.06786,-0.9753,5.096,5.53
973764414,2024/04/07,508.0,253.0,512.0,289.0,505.0,218.0,-0.09243,-0.05645,-0.99412,-0.21152,-0.06715,-0.97506,5.07,5.508
973781069,2024/04/07,468.0,251.0,481.0,277.0,456.0,225.0,-0.10167,-0.05912,-0.99306,-0.22542,-0.06407,-0.97215,5.012,5.47
973797724,2024/04/07,419.0,255.0,429.0,284.0,409.0,226.0,-0.11715,-0.05626,-0.99152,-0.23838,-0.06315,-0.96912,4.999,5.457
973814378,2024/04/07,420.0,260.0,429.0,289.0,411.0,230.0,-0.11778,-0.05417,-0.99156,-0.23844,-0.06158,-0.9692,5.021,5.469
973831033,2024/04/07,423.0,261.0,433.0,291.0,413.0,231.0,-0.11724,-0.05359,-0.99166,-0.23857,-0.06153,-0.96917,5.009,5.459
973847688,2024/04/07,427.0,259.0,444.0,300.0,409.0,218.0,-0.11437,-0.05046,-0.99216,-0.2397,-0.06501,-0.96867,5.024,5.429
973864342,2024/04/07,423.0,258.0,441.0,301.0,404.0,216.0,-0.11558,-0.05009,-0.99203,-0.24141,-0.06585,-0.96819,5.023,5.422
973880997,2024/04/07,418.0,252.0,431.0,292.0,405.0,212.0,-0.11863,-0.05234,-0.99156,-0.24145,-0.06659,-0.96813,5.001,5.42
973897652,2024/04/07,421.0,246.0,435.0,285.0,407.0,206.0,-0.11765,-0.05466,-0.99155,-0.24096,-0.06869,-0.9681,5.002,5.419
973914307,2024/04/07,420.0,244.0,432.0,280.0,408.0,209.0,-0.11847,-0.05618,-0.99137,-0.24076,-0.06791,-0.96821,4.995,5.439
973930961,2024/04/07,418.0,247.0,432.0,280.0,403.0,214.0,-0.1187,-0.05626,-0.99133,-0.24217,-0.06636,-0.96796,5.0,5.437
973947616,2024/04/07,415.0,245.0,432.0,279.0,399.0,212.0,-0.11863,-0.05612,-0.99135,-0.24345,-0.06672,-0.96762,5.003,5.414
973964271,2024/04/07,416.0,241.0,430.0,275.0,401.0,207.0,-0.11911,-0.05716,-0.99123,-0.24278,-0.06805,-0.96769,5.01,5.417
973980925,2024/04/07,423.0,245.0,438.0,278.0,409.0,212.0,-0.11699,-0.05576,-0.99157,-0.24063,-0.06624,-0.96835,5.027,5.453
973997580,2024/04/07,427.0,245.0,443.0,280.0,410.0,210.0,-0.11541,-0.05499,-0.99179,-0.2404,-0.06633,-0.96841,5.021,5.453
974014235,2024/04/07,408.0,244.0,426.0,265.0,390.0,222.0,-0.12054,-0.05881,-0.99096,-0.24594,-0.06233,-0.96728,4.997,5.454
974030889,2024/04/07,407.0,243.0,425.0,262.0,389.0,223.0,-0.12062,-0.05943,-0.99092,-0.24646,-0.0618,-0.96718,5.001,5.454
974047544,2024/04/07,414.0,232.0,431.0,263.0,396.0,200.0,-0.11899,-0.05884,-0.99115,-0.24432,-0.06815,-0.9673,4.994,5.419
974064198,2024/04/07,424.0,233.0,443.0,262.0,406.0,203.0,-0.11549,-0.0587,-0.99157,-0.24166,-0.06684,-0.96806,4.985,5.414
974080852,2024/04/07,463.0,242.0,479.0,273.0,446.0,211.0,-0.10531,-0.0558,-0.99287,-0.23112,-0.06482,-0.97076,5.0,5.425
974097507,2024/04/07,503.0,245.0,516.0,279.0,490.0,212.0,-0.09477,-0.05432,-0.99402,-0.2195,-0.06508,-0.97344,4.993,5.424
974114162,2024/04/07,506.0,245.0,523.0,280.0,489.0,210.0,-0.09251,-0.05414,-0.99424,-0.21967,-0.06569,-0.97336,4.985,5.399
974130816,2024/04/07,506.0,244.0,523.0,280.0,489.0,207.0,-0.0927,-0.05444,-0.99421,-0.21979,-0.06669,-0.97326,4.982,5.397
974147471,2024/04/07,512.0,248.0,520.0,279.0,503.0,217.0,-0.09344,-0.05517,-0.9941,-0.2157,-0.06435,-0.97434,4.972,5.458
974164126,2024/04/07,511.0,244.0,518.0,275.0,504.0,213.0,-0.0941,-0.05665,-0.99395,-0.21557,-0.06576,-0.97427,4.955,5.456
974180781,2024/04/07,504.0,235.0,507.0,272.0,500.0,197.0,-0.09725,-0.05786,-0.99358,-0.21655,-0.07079,-0.9737,4.945,5.4
974197435,2024/04/07,502.0,237.0,505.0,274.0,499.0,199.0,-0.09786,-0.05732,-0.99355,-0.21689,-0.07056,-0.97364,4.946,5.396
974214090,2024/04/07,513.0,247.0,517.0,290.0,508.0,203.0,-0.09408,-0.05282,-0.99416,-0.21421,-0.06967,-0.9743,4.975,5.419
974230745,2024/04/07,516.0,247.0,524.0,291.0,507.0,203.0,-0.09192,-0.05234,-0.99439,-0.21452,-0.06975,-0.97423,4.969,5.421
974247399,2024/04/07,511.0,242.0,521.0,280.0,501.0,204.0,-0.09286,-0.05552,-0.99413,-0.21612,-0.06929,-0.9739,4.95,5.414
974264054,2024/04/07,511.0,241.0,519.0,278.0,502.0,203.0,-0.09317,-0.05628,-0.99406,-0.21582,-0.0696,-0.97395,4.946,5.416
974280709,2024/04/07,508.0,236.0,517.0,273.0,499.0,200.0,-0.0938,-0.05749,-0.99393,-0.21633,-0.07035,-0.97378,4.927,5.399
974297363,2024/04/07,506.0,235.0,514.0,271.0,497.0,199.0,-0.09435,-0.05786,-0.99386,-0.21678,-0.07033,-0.97368,4.938,5.396
974314018,2024/04/07,496.0,240.0,505.0,280.0,488.0,201.0,-0.09661,-0.05468,-0.99382,-0.21909,-0.06919,-0.97325,4.957,5.447
974330673,2024/04/07,486.0,242.0,489.0,281.0,484.0,202.0,-0.10121,-0.05381,-0.99341,-0.21972,-0.06826,-0.97317,4.96,5.451
974347327,2024/04/07,488.0,239.0,488.0,279.0,489.0,199.0,-0.10136,-0.05451,-0.99336,-0.21835,-0.06925,-0.97341,4.951,5.417
974363982,2024/04/07,493.0,239.0,497.0,280.0,489.0,198.0,-0.09863,-0.05412,-0.99365,-0.21805,-0.06953,-0.97346,4.953,5.416
974380637,2024/04/07,486.0,234.0,495.0,276.0,477.0,192.0,-0.09913,-0.05574,-0.99351,-0.2214,-0.07162,-0.97255,4.95,5.426
974397291,2024/04/07,483.0,240.0,489.0,283.0,477.0,197.0,-0.10114,-0.05399,-0.99341,-0.22151,-0.07044,-0.97261,4.96,5.427
974413946,2024/04/07,491.0,245.0,495.0,291.0,488.0,200.0,-0.09937,-0.05205,-0.99369,-0.21855,-0.06987,-0.97332,4.978,5.402
974430601,2024/04/07,492.0,241.0,496.0,286.0,487.0,195.0,-0.09899,-0.05351,-0.99365,-0.21866,-0.07123,-0.9732,4.984,5.403
974447256,2024/04/07,488.0,253.0,499.0,300.0,477.0,205.0,-0.09856,-0.04996,-0.99388,-0.22211,-0.06932,-0.97256,5.02,5.388
974463910,2024/04/07,495.0,256.0,505.0,303.0,485.0,210.0,-0.09707,-0.04914,-0.99406,-0.22001,-0.06815,-0.97311,5.032,5.403
974480565,2024/04/07,496.0,242.0,505.0,290.0,487.0,195.0,-0.09712,-0.05272,-0.99388,-0.21955,-0.07183,-0.97295,5.023,5.438
974497220,2024/04/07,496.0,242.0,504.0,290.0,487.0,194.0,-0.09712,-0.05278,-0.99387,-0.2194,-0.07217,-0.97296,5.036,5.443
974513874,2024/04/07,500.0,248.0,511.0,295.0,489.0,201.0,-0.09529,-0.05119,-0.99413,-0.21901,-0.07015,-0.9732,5.064,5.439
974530529,2024/04/07,499.0,248.0,510.0,296.0,488.0,200.0,-0.09594,-0.05121,-0.99407,-0.2194,-0.07049,-0.97309,5.081,5.45
974547184,2024/04/07,492.0,248.0,499.0,296.0,486.0,200.0,-0.09945,-0.05142,-0.99371,-0.2202,-0.07053,-0.9729,5.068,5.452
974563837,2024/04/07,489.0,250.0,494.0,296.0,484.0,204.0,-0.10107,-0.05159,-0.99354,-0.22081,-0.06956,-0.97283,5.08,5.461
974580492,2024/04/07,493.0,243.0,499.0,284.0,487.0,202.0,-0.09969,-0.05528,-0.99348,-0.22036,-0.07049,-0.97287,5.079,5.486
974597147,2024/04/07,496.0,242.0,506.0,284.0,487.0,201.0,-0.09796,-0.05549,-0.99364,-0.22043,-0.07073,-0.97284,5.09,5.497
974613801,2024/04/07,488.0,240.0,498.0,283.0,478.0,197.0,-0.10056,-0.05619,-0.99334,-0.22331,-0.07218,-0.97207,5.107,5.511
974630456,2024/04/07,485.0,237.0,494.0,281.0,476.0,193.0,-0.10213,-0.05687,-0.99314,-0.22403,-0.07341,-0.97181,5.114,5.523
974647111,2024/04/07,482.0,244.0,492.0,294.0,472.0,193.0,-0.10322,-0.05349,-0.99322,-0.22551,-0.07392,-0.97143,5.119,5.522
974663765,2024/04/07,480.0,247.0,492.0,295.0,468.0,199.0,-0.10365,-0.05335,-0.99318,-0.22704,-0.07246,-0.97119,5.13,5.531
974680420,2024/04/07,489.0,249.0,501.0,296.0,478.0,203.0,-0.10139,-0.05336,-0.99341,-0.22488,-0.07162,-0.97175,5.144,5.54
974697075,2024/04/07,491.0,250.0,503.0,297.0,479.0,204.0,-0.10123,-0.05281,-0.99346,-0.22493,-0.07112,-0.97177,5.154,5.546
974713730,2024/04/07,490.0,250.0,501.0,298.0,478.0,201.0,-0.10206,-0.05175,-0.99343,-0.22541,-0.07161,-0.97163,5.148,5.547
974730384,2024/04/07,485.0,249.0,493.0,296.0,477.0,201.0,-0.10467,-0.05194,-0.99315,-0.22603,-0.0714,-0.9715,5.157,5.557
974747039,2024/04/07,481.0,254.0,486.0,289.0,477.0,218.0,-0.10709,-0.05355,-0.99281,-0.22621,-0.06569,-0.97186,5.159,5.592
974763694,2024/04/07,482.0,252.0,491.0,289.0,473.0,216.0,-0.1057,-0.05329,-0.99297,-0.22741,-0.06634,-0.97154,5.162,5.604
